url_length,dot_count,has_at_symbol,has_https,has_sensitive_word,is_suspicious_tld,has_hyphens,is_known_legit,is_known_brand,label
2.833213344056216,1,0,0,0,0,0,0,0,0
4.143134726391533,3,0,0,0,0,0,0,0,0
3.828641396489095,3,0,0,0,0,0,0,1,1
3.828641396489095,1,0,1,0,0,1,0,0,0
4.1588830833596715,3,0,0,0,0,0,0,1,1
3.2188758248682006,2,0,1,0,0,0,0,0,1
4.356708826689592,2,0,0,0,0,0,0,0,0
3.4657359027997265,2,0,1,0,0,0,0,0,1
3.8066624897703196,2,0,0,1,0,0,0,1,1
3.713572066704308,3,0,1,1,0,1,0,0,1
3.091042453358316,2,0,0,0,0,0,0,1,0
2.6390573296152584,1,0,0,0,0,0,0,0,1
3.4011973816621555,1,0,0,0,0,0,0,0,0
2.6390573296152584,1,0,0,0,0,0,0,0,0
4.574710978503383,1,0,0,0,0,1,0,0,0
3.6635616461296463,1,0,0,0,0,1,0,1,0
3.9318256327243257,4,0,1,0,0,1,0,0,1
3.4011973816621555,2,0,0,0,0,0,0,0,1
3.091042453358316,1,0,0,0,0,0,0,0,1
3.4965075614664802,2,0,1,0,0,1,0,0,1
4.23410650459726,3,0,0,0,0,1,0,0,0
3.5263605246161616,2,0,0,0,0,0,0,0,0
3.4657359027997265,1,0,0,0,0,1,0,0,0
3.5263605246161616,2,0,0,0,0,1,0,0,1
3.5553480614894135,2,0,0,0,0,0,0,1,0
3.6109179126442243,2,0,0,0,0,1,0,0,0
